"","X","rot","tipo","tens","lunghezza","spessore"
"1",1,26,"A","L",21.8750741216354,-1.19448837200568
"2",2,30,"A","L",47.2671476565301,-0.758611436908435
"3",3,54,"A","L",78.604429946281,0.0804221792405153
"4",4,25,"A","L",30.9854266000912,0.913590366713202
"5",5,70,"A","L",77.4935155920684,4.34818389879434
"6",6,52,"A","L",52.3903433559462,1.33751885808459
"7",7,51,"A","L",77.1138470200822,-9.43341375372621
"8",8,26,"A","L",48.2288029883057,-2.72233375024749
"9",9,67,"A","L",69.6958127361722,-2.73073635593307
"10",10,18,"A","L",87.660039125476,-16.6119363137143
"11",11,21,"A","L",29.4734315155074,6.46353750804159
"12",12,29,"A","L",68.2389997015707,-1.34036168598191
"13",13,17,"A","M",93.5029227379709,10.1769931420353
"14",14,12,"A","M",58.9965239958838,16.3899437831999
"15",15,18,"A","M",86.2440349999815,1.38220162306371
"16",16,35,"A","M",28.3295083465055,0.425475971961189
"17",17,30,"A","M",22.3454889073037,1.25251030829516
"18",18,36,"A","M",53.9716490684077,7.09974406750115
"19",19,36,"A","H",63.551231760066,-17.284752044701
"20",20,21,"A","H",19.2300183745101,0.348010354694958
"21",21,24,"A","H",99.1063214209862,-6.00067539364884
"22",22,18,"A","H",88.7093206332065,-3.26660113317307
"23",23,10,"A","H",75.9428780479357,15.3743398191487
"24",24,43,"A","H",93.9356702566147,19.0869498322286
"25",25,28,"A","H",61.8303259741515,-3.43473372832019
"26",26,15,"A","H",99.6079511893913,7.62607912627955
"27",27,26,"A","H",91.9284295220859,3.65721590727232
"28",28,27,"B","L",77.1622803807259,-1.02856131319549
"29",29,14,"B","L",95.5401719431393,2.76163509869352
"30",30,29,"B","L",81.6090128244832,-4.21551354887392
"31",31,19,"B","L",55.5850276304409,-0.515955721698654
"32",32,29,"B","L",69.931311882101,-6.07056301125281
"33",33,31,"B","L",80.3507370688021,-11.7121857012502
"34",34,41,"B","L",17.2218923643231,-7.37463540572306
"35",35,20,"B","H",72.0994566380978,2.33755243968415
"36",36,44,"B","H",89.8318534996361,4.6556494523762
"37",37,42,"B","M",14.7559580346569,-8.37613423237758
"38",38,26,"B","M",98.5201728576794,3.02075065304997
"39",39,19,"B","M",65.7810625666752,-12.4734402878333
"40",40,16,"B","M",73.3542441600002,-0.789625969070256
"41",41,39,"B","M",92.7414592728019,1.9656453634763
"42",42,28,"B","M",57.9031256190501,-3.2058555159883
"43",43,21,"B","M",21.8943189713173,-6.87886787242243
"44",44,39,"B","M",75.7741478015669,-1.21245193716618
"45",45,29,"B","M",53.2740788394585,-0.55294606082632
"46",46,20,"B","H",88.9799733972177,-2.21172878631377
"47",47,NA,"B","H",36.2669785995968,-14.1948913690868
"48",48,24,"B","H",26.7419900931418,-15.0373841439782
"49",49,17,"B","H",85.1574348704889,11.7850346461485
"50",50,12,"B","H",85.0142727186903,-10.4062740163889
"51",51,15,"B","H",12.9065057053231,-6.64509043197111
"52",52,15,"B","H",18.4893669863231,-10.7472792432168
"53",53,16,"B","H",78.9207930839621,13.6365915545078
"54",54,28,"B","H",83.1132256472483,-1.81793629623956
"55",55,13,"B","H",93.3205752307549,8.69539793169154
"56",56,15,"B","H",38.9633273193613,-0.287163171276943
"57",57,15,"B","H",32.8685009642504,-2.38357897796772
"58",58,16,"B","H",77.992668109946,1.69410983090197
"59",59,28,"B","H",61.5978005388752,-18.0282238814051
